Campanha,Canal,Investimento,Impressoes,Cliques,Conversoes,Data_Inicio,Data_Fim,ROI
Black Friday,Google Ads,15000.00,250000,12500,450,2024-11-20,2024-11-30,2.8
Natal,Facebook Ads,8000.00,180000,7200,280,2024-12-01,2024-12-25,2.1
Ano Novo,Instagram,5000.00,120000,4800,195,2024-12-26,2025-01-05,1.9
Dia das Mães,Email Marketing,2000.00,50000,3500,120,2024-05-01,2024-05-12,3.2
Dia dos Pais,LinkedIn,3500.00,80000,2800,95,2024-08-01,2024-08-11,1.7
Volta às Aulas,YouTube,12000.00,300000,15000,520,2024-01-15,2024-02-15,2.5
Promoção Verão,Google Ads,6000.00,150000,9000,310,2024-01-01,2024-01-31,2.3
Liquidação,Facebook Ads,4500.00,100000,5500,180,2024-07-01,2024-07-15,2.0
Lançamento Produto,Instagram,10000.00,200000,12000,420,2024-03-01,2024-03-20,2.6
Influencer Marketing,YouTube,7500.00,180000,8500,290,2024-04-01,2024-04-30,2.2
SEO Orgânico,Google,3000.00,500000,25000,890,2024-01-01,2024-12-31,4.5
Remarketing,Google Ads,4000.00,80000,12000,380,2024-06-01,2024-06-30,3.1
Content Marketing,Blog,2500.00,150000,18000,650,2024-01-01,2024-12-31,5.2
Parcerias,Afiliados,6000.00,120000,15000,520,2024-05-01,2024-05-31,2.8
Eventos,Presencial,15000.00,5000,3500,180,2024-09-01,2024-09-30,1.5
