Produto,Categoria,Vendas,Data,Região
Notebook,Electrônicos,15000,2024-01-15,Sudeste
Smartphone,Electrônicos,25000,2024-01-16,Nordeste
Tablet,Electrônicos,8000,2024-01-17,Sul
Mouse,Periféricos,5000,2024-01-18,Sudeste
Teclado,Periféricos,6000,2024-01-19,Norte
Monitor,Periféricos,12000,2024-01-20,Sudeste
Headset,Periféricos,9000,2024-01-21,Nordeste
Webcam,Periféricos,4000,2024-01-22,Sul
Impressora,Periféricos,11000,2024-01-23,Sudeste
SSD,Componentes,7000,2024-01-24,Nordeste
RAM,Componentes,5500,2024-01-25,Sul
Processador,Componentes,18000,2024-01-26,Sudeste
Placa de Vídeo,Componentes,22000,2024-01-27,Nordeste
Fonte,Componentes,3500,2024-01-28,Sul
Gabinete,Componentes,4500,2024-01-29,Sudeste
